"file";"path_id";"class";"object";"field";"value"
"level0";"9167";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (35)/UpdatingGrp/Text";"m_text";"Press Any Key"
"level0";"9168";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/SavingScreenPleaseWait/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/StatGrp/StatText_1_Grp/StatText_1";"m_text";"50"
"level0";"9169";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (28)/Text";"m_text";"A"
"level0";"9170";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (34)/ActionText";"m_text";"Album Next 10 Page"
"level0";"9171";"TMPro.TextMeshProUGUI";"Canvas/ConfirmOverwriteSaveScreen/ScreenGrp/AnimGrp/Mask/UIGroup/Text";"m_text";"A save file already exists. Do you want to delete the save file and start a new shop?"
"level0";"9172";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/EvoAndArtistNameGrp/EvoGrp/EvoBasicIcon/EvoBasicText";"m_text";"Basic"
"level0";"9173";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (25)/UpdatingGrp/Text";"m_text";"Press Any Key"
"level0";"9174";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (27)/InputTooltipUI/UIGrp/ActionText";"m_text";"Action Name"
"level0";"9175";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (36)/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9176";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (32)/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9177";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/FPS Text_TMP";"m_text";"Frames Per Second"
"level0";"9178";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (21)/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9179";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (30)/InputTooltipUI/UIGrp/ActionText";"m_text";"Action Name"
"level0";"9180";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/EvoAndArtistNameGrp/ArtistGrp/ArtistText/CompanyText";"m_text";"©2024 OPNeon Games - Sia Ding Shen"
"level0";"9181";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/KeyboardType (Custom)";"m_text";"Keyboard"
"level0";"9182";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/CurrencyType (Custom)/Currency Dropdown/Label";"m_text";"USD"
"level0";"9183";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/Refresh Rate_TMP/Refresh Rate Dropdown/Label";"m_text";"Option A"
"level0";"9184";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/SaveLoadSlotPanelUI (5)/TopUIGrp/UIGrp/LoadGameBtn/BtnImageGrp/Text";"m_text";"Load"
"level0";"9185";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/SaveLoadSlotPanelUI (3)/TopUIGrp/UIGrp/LoadGameBtn/BtnImageGrp/Text";"m_text";"Load"
"level0";"9186";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/SaveLoadSlotPanelUI (4)/TopUIGrp/UIGrp/LoadGameBtn/BtnImageGrp/Text";"m_text";"Load"
"level0";"9187";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/Keyboard_Button/AnimGrp/BGBarGrp/BtnImageGrp/Text";"m_text";"Keyboard"
"level0";"9188";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/Save_Button/AnimGrp/BGBarGrp/BtnImageGrp/Text";"m_text";"Apply"
"level0";"9189";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/Controller_Button/AnimGrp/BGBarGrp/BtnImageGrp/Text";"m_text";"Gamepad"
"level0";"9190";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/BackBtn/AnimGrp/BGBarGrp/BtnImageGrp/Text";"m_text";"Back"
"level0";"9191";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/Reset_Button/AnimGrp/BGBarGrp/BtnImageGrp/Text";"m_text";"Reset"
"level0";"9192";"TMPro.TextMeshProUGUI";"Canvas/TitleScreen/ScreenGrp/AnimGrp/LoadGameBtn/AnimGrp/BGBarGrp/BtnImageGrp/Text";"m_text";"Load Game"
"level0";"9193";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp/UpdatingGrp/Text";"m_text";"Press Any Key"
"level0";"9194";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Show New Card Toggle/Label";"m_text";"Show New Card"
"level0";"9195";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/SavingScreenPleaseWait/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/StatGrp/StatText_4_Grp/StatText_4";"m_text";"50"
"level0";"9196";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (23)/ActionText";"m_text";"Move Shelf"
"level0";"9197";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/SavingScreenPleaseWait/CardGroup/AnimGrp/GradedCardCase/GradeText";"m_text";"Gem Mint"
"level0";"9198";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (31)/UpdatingGrp/Text";"m_text";"Press Any Key"
"level0";"9199";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/StatGrp/StatText_3_Grp/StatText_3";"m_text";"50"
"level0";"9200";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (29)/ActionText";"m_text";"Box Up"
"level0";"9201";"TMPro.TextMeshProUGUI";"Canvas/TitleScreen/ScreenGrp/AnimGrp/RoadmapText/ScaleGrp/Mask/UIGroup/VerticalLayout/Text (7)";"m_text";"-Shop decoration"
"level0";"9202";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/CenterDotType (Custom)/CenterDotType Dropdown/Template/Viewport/Content/Item/Item Label";"m_text";"Option A"
"level0";"9203";"TMPro.TextMeshProUGUI";"Canvas/TitleScreen/ScreenGrp/AnimGrp/RoadmapText/ScaleGrp/Mask/UIGroup/VerticalLayout/Text (6)";"m_text";"-Customer trade cards"
"level0";"9204";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (20)/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9205";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/CenterDotColor (Custom)/CenterDotColor Dropdown/Label";"m_text";"White"
"level0";"9206";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (20)/UpdatingGrp/Text";"m_text";"Press Any Key"
"level0";"9207";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (34)/InputTooltipUI/UIGrp/ActionText";"m_text";"Action Name"
"level0";"9208";"TMPro.TextMeshProUGUI";"Canvas/TitleScreen/ScreenGrp/AnimGrp/NewGameBtn/AnimGrp/BGBarGrp/BtnImageGrp/Text";"m_text";"New Game"
"level0";"9209";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (31)/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9210";"TMPro.TextMeshProUGUI";"Canvas/TitleScreen/ScreenGrp/AnimGrp/RoadmapText/ScaleGrp/Mask/UIGroup/VerticalLayout/Text (5)";"m_text";"-More TCG types"
"level0";"9211";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (30)/ActionText";"m_text";"Open Phone"
"level0";"9212";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9213";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/CardGroup/AnimGrp/GradedCardCase/GradeNumberText";"m_text";"10"
"level0";"9214";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (27)/ActionText";"m_text";"Move Forward"
"level0";"9215";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/SaveLoadSlotPanelUI (5)/TopUIGrp/UIGrp/SaveGameBtn/BtnImageGrp/Text";"m_text";"Save"
"level0";"9216";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/SaveLoadSlotPanelUI (4)/TopUIGrp/UIGrp/SaveGameBtn/BtnImageGrp/Text";"m_text";"Save"
"level0";"9217";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/SaveLoadSlotPanelUI (3)/TopUIGrp/UIGrp/SaveGameBtn/BtnImageGrp/Text";"m_text";"Save"
"level0";"9218";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/SavingScreenPleaseWait/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/FirstEditionTextGrp/FirstEditionText";"m_text";"EX"
"level0";"9219";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (21)/UpdatingGrp/Text";"m_text";"Press Any Key"
"level0";"9220";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (32)/UpdatingGrp/Text";"m_text";"Press Any Key"
"level0";"9221";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (36)/UpdatingGrp/Text";"m_text";"Press Any Key"
"level0";"9222";"TMPro.TextMeshProUGUI";"Canvas/ConfirmOverwriteSaveScreen/ScreenGrp/AnimGrp/BGBarGrp/BtnImageGrp/Text";"m_text";"Confirm"
"level0";"9223";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (11)/Text";"m_text";"A"
"level0";"9224";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (3)/Text";"m_text";"A"
"level0";"9225";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (1)/Text";"m_text";"A"
"level0";"9226";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (17)/Text";"m_text";"A"
"level0";"9227";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (6)/Text";"m_text";"A"
"level0";"9228";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (10)/Text";"m_text";"A"
"level0";"9229";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (7)/Text";"m_text";"A"
"level0";"9230";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (4)/Text";"m_text";"A"
"level0";"9231";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (5)/Text";"m_text";"A"
"level0";"9232";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (18)/Text";"m_text";"A"
"level0";"9233";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (9)/Text";"m_text";"A"
"level0";"9234";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (2)/Text";"m_text";"A"
"level0";"9235";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (16)/Text";"m_text";"A"
"level0";"9236";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (15)/Text";"m_text";"A"
"level0";"9237";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (13)/Text";"m_text";"A"
"level0";"9238";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (12)/Text";"m_text";"A"
"level0";"9239";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (8)/Text";"m_text";"A"
"level0";"9240";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindKeyboardScreen/KeybingSettingGrp (14)/Text";"m_text";"A"
"level0";"9241";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (25)/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9242";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/Fullscreen Toggle/VSync Toggle/Label";"m_text";"Disable VSync"
"level0";"9243";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (37)/Text";"m_text";"A"
"level0";"9244";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (33)/Text";"m_text";"A"
"level0";"9245";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/CenterDotColor (Custom)";"m_text";"Color"
"level0";"9246";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/CardGroup/AnimGrp/GradedCardCase/NumberText";"m_text";"201242562113"
"level0";"9247";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (35)/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9248";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (29)/InputTooltipUI/UIGrp/ActionText";"m_text";"Action Name"
"level0";"9249";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Tooltip Toggle/CheckoutLockMovement Toggle/Label";"m_text";"Cashier Lock Movement"
"level0";"9250";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/Resolution_TMP/Resolution Dropdown/Label";"m_text";"Option A"
"level0";"9251";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/NameTextGrp/NameText";"m_text";"Dracunix"
"level0";"9252";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (23)/InputTooltipUI/UIGrp/ActionText";"m_text";"Action Name"
"level0";"9253";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/HideUI Toggle (Custom) (1)/Label";"m_text";"Hide UI"
"level0";"9254";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (30)/UpdatingGrp/Text";"m_text";"Press Any Key"
"level0";"9255";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/Quality Preset_TMP/Quality Dropdown/Label";"m_text";"Option A"
"level0";"9256";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/SavingScreenPleaseWait/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/EvoAndArtistNameGrp/DescriptionGrp/DescriptionText";"m_text";"Drain 50% of damage dealt this turn"
"level0";"9257";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (27)/UpdatingGrp/Text";"m_text";"Press Any Key"
"level0";"9258";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (25)/InputTooltipUI/UIGrp/ActionText";"m_text";"Action Name"
"level0";"9259";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/EvoAndArtistNameGrp/DescriptionGrp/PlayEffectText";"m_text";"Play Effect"
"level0";"9260";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (26)/Text";"m_text";"A"
"level0";"9261";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/NumberTextGrp/NumberText";"m_text";"383"
"level0";"9262";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (20)/ActionText";"m_text";"Take Item"
"level0";"9263";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Show New Card Toggle/Auto Next Card Toggle/Label";"m_text";"Auto Next Card"
"level0";"9264";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (35)/InputTooltipUI/UIGrp/ActionText";"m_text";"Action Name"
"level0";"9265";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (29)/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9266";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/AnimGrp/Text";"m_text";"Now Loading..."
"level0";"9267";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/PercentText";"m_text";"0%"
"level0";"9268";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/SaveLoadSlotPanelUI/TopUIGrp/UIGrp/SaveGameBtn/BtnImageGrp/Text";"m_text";"Save"
"level0";"9269";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (23)/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9270";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/Apply Button/Text (Legacy)";"m_text";"Apply"
"level0";"9271";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/DisplaySettingScreen/Undo & Reset/Undo Button/Text (Legacy)";"m_text";"Undo"
"level0";"9272";"TMPro.TextMeshProUGUI";"Canvas/LoadingScreen/ScreenGrp/CardGroup/AnimGrp/CardFront/CardGrp/AnimGrp/EvoAndArtistNameGrp/ArtistGrp/ArtistText";"m_text";"Illus. Bosgarong"
"level0";"9273";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (34)/InputTooltipUI/UIGrp/KeycodeText";"m_text";"F"
"level0";"9274";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/LoadGameOverwriteAutoSaveSlotScreen/ScreenGrp/AnimGrp/Mask/UIGroup/Text";"m_text";"Loading this save slot will overwrite the current auto save slot. Are you sure about it?"
"level0";"9275";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/CurrencyType (Custom)/Currency Dropdown/Template/Viewport/Content/Item/Item Label";"m_text";"Option A"
"level0";"9276";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/ControlKeybindScreen/UIGroup/KeybindControllerScreen/KeybingSettingGrp (31)/InputTooltipUI/UIGrp/ActionText";"m_text";"Action Name"
