"key";"en";"ru"
"Alpha";"Alpha";""
"Already Claimed";"Already Claimed";""
"Already Purchased";"Already Purchased";""
"Already claimed";"Already claimed";""
"Already joined tournament";"Already joined tournament";""
"Already purchased";"Already purchased";""
"Alright no worries. Let me know if you change your mind.";"Alright no worries. Let me know if you change your mind.";""
"Alright, alright. You win this time.";"Alright, alright. You win this time.";""
"Amneshark";"Amneshark";""
"Amnesilla";"Amnesilla";""
"Amount";"Amount";""
"Ancient Hammer";"Ancient Hammer";""
"Angez";"Angez";""
"Anguifish";"Anguifish";""
"Anxious";"Anxious";""
"Any Rarity";"Any Rarity";""
"Anyone know where is table XXX?";"Anyone know where is table XXX?";""
"Apply";"Apply";""
"April";"April";""
"Aquariff";"Aquariff";""
"Arc Missile";"Arc Missile";""
"Arcade Claw";"Arcade Claw";""
"Arcade Machine";"Arcade Machine";""
"Archer";"Archer";""
"Architect";"Architect";""
"Are you sure about quiting the match?";"Are you sure about quiting the match?";""
"Are you sure about selling XXX for YYY?";"Are you sure about selling XXX for YYY?";""
"Are you sure?";"Are you sure?";""
"Arena";"Arena";""
"Argh, my strategy fell apart way too easily!";"Argh, my strategy fell apart way too easily!";""
"Armored Slime";"Armored Slime";""
"Arrow Sign YYY";"Arrow Sign YYY";""
"Artist";"Artist";""
"Ascension";"Ascension";""
"Ascension Card Pack";"Ascension Card Pack";""
"Ask Price";"Ask Price";""
"Astronaut";"Astronaut";""
"Attack";"Attack";""
"Attack Phase";"Attack Phase";""
"Attack Power";"Attack Power";""
"August";"August";""
"Auto";"Auto";""
"Auto Next Card";"Auto Next Card";""
"Auto Save";"Auto Save";""
"Auto Scent G500";"Auto Scent G500";""
"Auto Scent M100";"Auto Scent M100";""
"Auto Scent T1000";"Auto Scent T1000";""
"Automatically opens card packs. Holds up to 128 packs at a time.";"Automatically opens card packs. Holds up to 128 packs at a time.";""
"Automatically opens card packs. Holds up to 32 packs at a time.";"Automatically opens card packs. Holds up to 32 packs at a time.";""
"Automatically opens card packs. Holds up to 64 packs at a time.";"Automatically opens card packs. Holds up to 64 packs at a time.";""
"Automatically sprays when bad odour is detected. Holds up to 2 Cleanser.";"Automatically sprays when bad odour is detected. Holds up to 2 Cleanser.";""
"Automatically sprays when bad odour is detected. Holds up to 4 Cleanser.";"Automatically sprays when bad odour is detected. Holds up to 4 Cleanser.";""
"Automatically sprays when bad odour is detected. Holds up to 7 Cleanser.";"Automatically sprays when bad odour is detected. Holds up to 7 Cleanser.";""
"Available on Full Version";"Available on Full Version";""
"Avg Cost";"Avg Cost";""
"Axe";"Axe";""
"Axe Warrior";"Axe Warrior";""
"Back";"Back";""
"Backward";"Backward";""
"Barber";"Barber";""
"Barrage Missile";"Barrage Missile";""
"Barrage Missle";"Barrage Miss";""
"Barrel Hammer";"Barrel Hammer";""
"Bartender";"Bartender";""
"Bashful";"Bashful";""
"Basic";"Basic";""
"Basic Card Box";"Basic Card Box";""
"Basic Card Pack";"Basic Card Pack";""
"Basic Destiny Box";"Basic Destiny Box";""
"Basic Destiny Pack";"Basic Destiny Pack";""
"Basic Foil Pack";"Basic Foil Pack";""
"Basilisk";"Basilisk";""
"Batrang";"Batrang";""
"Battle";"Battle";""
"Battle Chip";"Battle Chip";""
"Beakai";"Beakai";""
"Beginner Player";"Beginner Player";""
"Below Max Price";"Below Max Price";""
"Best Value";"Best Value";""
"Beta";"Beta";""
"Better luck next time!";"Better luck next time!";""
"Big Card Display";"Big Card Display";""
"Big Personal Shelf";"Big Personal Shelf";""
"Big Shelf";"Big Shelf";""
"Big Warehouse Shelf";"Big Warehouse Shelf";""
"Bill Payment";"Bill Payment";""
"Black";"Black";""
"Blacksmith";"Blacksmith";""
"Blank";"Blank";""
"Blazoar";"Blazoar";""
"Blazoar Plushie";"Blazoar Plushie";""
"Blazoar Statue";"Blazoar Statue";""
"Blitz";"Blitz";""
"Blue";"Blue";""
"Bodybuilder";"Bodybuilder";""
"Bogon";"Bogon";""
"Bolt";"Bolt";""
"Bonfiox";"Bonfiox";""
"Bonfiox Plushie";"Bonfiox Plushie";""
"Bonsai";"Bonsai";""
"Bonus";"Bonus";""
"Bonus received! Morale +10!";"Bonus received! Morale +10!";""
"Boost Earth elemental power by XXX for each Guardian card you've taken.";"Boost Earth elemental power of this card by XXX for each Guardian card you've taken.";""
"Boost Earth elemental power by XXX this turn.";"Boost Earth elemental power by XXX this turn.";""
"Boost Earth elemental power by XXX this turn. If you have active Tamer Shield, boost YYY instead.";"Boost Earth elemental power by XXX this turn. If you have active Tamer Shield, boost YYY instead.";""
"Boost Earth elemental power of this card by XXX for each Guardian card you've taken.";"Boost Earth elemental power of this card by XXX for each Guardian card you've taken.";""
"Boost Earth elemental power of this card by XXX this turn.";"Boost Earth elemental power of this card by XXX this turn.";""
"Boost Fire elemental power by XXX for each card you discarded this turn.";"Boost Fire elemental power by XXX for each card you discarded this turn.";""
"Boost Fire elemental power by XXX this turn.";"Boost Fire elemental power by XXX this turn.";""
"Boost Fire elemental power of this card by XXX for each card in your deck.";"Boost Fire elemental power of this card by XXX for each card in your deck.";""
"Boost Fire elemental power of this card by XXX for every YYY cards in your discard pile.";"Boost Fire elemental power of this card by XXX for every YYY cards in your discard pile.";""
"Boost Fire elemental power of this card by XXX this turn.";"Boost Fire elemental power of this card by XXX this turn.";""
"Boost Water elemental power by XXX for each Guardian card you've taken.";"Boost Water elemental power of this card by XXX for each Guardian card you've taken.";""
"Boost Water elemental power by XXX this turn.";"Boost Water elemental power by XXX this turn.";""
"Boost Water elemental power by XXX this turn. If you have YYY or more cards in your discard pile, boost ZZZ instead.";"Boost Water elemental power by XXX this turn. If you have YYY or more cards in your discard pile, boost ZZZ instead.";""
"Boost Water elemental power of this card by XXX for each Freeze Counter on your opponent.";"Boost Water elemental power of this card by XXX for each Freeze Counter on your opponent.";""
"Boost Water elemental power of this card by XXX for each Guardian card you've taken.";"Boost Water elemental power of this card by XXX for each Guardian card you've taken.";""
"Boost Water elemental power of this card by XXX for each card in your hand.";"Boost Water elemental power of this card by XXX for each card in your hand.";""
"Boost Water elemental power of this card by XXX this turn.";"Boost Water elemental power of this card by XXX this turn.";""
"Boost Wind elemental power by XXX this turn.";"Boost Wind elemental power by XXX this turn.";""
"Boost Wind elemental power by XXX this turn. Boost by YYY instead if Talontsu or Talonryu is on your field.";"Boost Wind elemental power by XXX this turn. Boost by YYY instead if Talontsu or Talonryu is on your field.";""
"Boost Wind elemental power of this card by XXX this turn.";"Boost Wind elemental power of this card by XXX this turn.";""
"Boost active elemental power of this card by XXX for each Guardian card you've taken.";"Boost active elemental power of this card by XXX for each Guardian card you've taken.";""
"Boost active elemental power of this card by XXX for every YYY cards in your opponent's discard pile.";"Boost active elemental power of this card by XXX for every YYY cards in your opponent's discard pile.";""
"Boost active elemental power of this card by XXX this turn.";"Boost active elemental power of this card by XXX this turn.";""
"Boost active elemental power of this card by XXX this turn. Boost by YYY instead if Talonika is on your field.";"Boost active elemental power of this card by XXX this turn. Boost by YYY instead if Talonika is on your field.";""
"Booster";"Booster";""
"Booster Packs";"Booster Packs";""
"Borderless Full Art";"Borderless Full Art";""
"Bored";"Bored";""
"Boredom";"Boredom";""
"Both players discard XXX cards from the top of their deck. Boost active elemental power of this card by the same elemental power of all the discarded card.";"Both players discard XXX cards from the top of their deck. Boost active elemental power of this card by the same elemental power of all the discarded card.";""
"Both players discard the top XXX cards of their deck.";"Both players discard the top XXX cards of their deck.";""
"Both players draw cards from their deck until they have XXX cards on their hand.";"Both players draw cards from their deck until they have XXX cards on their hand.";""
"Both players shuffle their hand into their deck. Then, both players draw XXX cards.";"Both players shuffle their hand into their deck. Then, both players draw XXX cards.";""
"Both players shuffle their hand into their deck. Then, you draw XXX cards, and your opponent draws YYY cards.";"Both players shuffle their hand into their deck. Then, you draw XXX cards, and your opponent draws YYY cards.";""
"Bought";"Bought";""
"Bought Card";"Bought Card";""
"Bought Item";"Bought Item";""
"Bouncer";"Bouncer";""
"Bountiful";"Bountiful";""
"Box Shelf";"Box Shelf";""
"Box Spawn Limit";"Box Spawn Limit";""
"Box Up";"Box Up";""
"Box Up Decorate";"Box Up / Decorate";""
"Box has no item in it";"Box has no item in it";""
"Box has no more space";"Box has no more space";""
"Boxing Glove";"Boxing Glove";""
"Braveheart";"Braveheart";""
"Brush";"Brush";""
"Budwing";"Budwing";""
"Build";"Build";""
"Build Complete";"Build Complete";""
"Build Time";"Build Time";""
"Built";"Built";""
"Bulk Box";"Bulk Box";""
"Bulk Card Bundle";"Bulk Card Bundle";""
"Bulk Donation Box";"Bulk Donation Box";""
"Bumblebee";"Bumblebee";""
"Bundle Cards";"Bundle Cards";""
"Bundle up your jank cards here, you can sell them as bulk on the shelf.";"Bundle up your jank cards here, you can sell them as bulk on the shelf.";""
"Burpig";"Burpig";""
"Burpig Figurine";"Burpig Figurine";""
"Burpig Statue";"Burpig Statue";""
"Buy Card";"Buy Card";""
"Buy Price";"Buy Price";""
"Buy a Card Shelf and put it in the shop";"Buy a Card Shelf and put it in the shop";""
"Buy a Card Table and put it in the shop";"Buy a Card Table and put it in the shop";""
"Buy a Play Table and put it in the shop";"Buy a Play Table and put it in the shop";""
"Buy buy buy!!";"Buy buy buy!!";""
"Buzzeed";"Buzzeed";""
"CARD INFO";"CARD INFO";""
"CARD ZONES";"CARD ZONES";""
"Camera";"Camera";""
"Camera FOV";"Camera FOV";""
"Can only put Bulk Box here";"Can only put Bulk Box here";""
"Can only put item on this shelf";"Can only put item on this shelf";""
"Can only refill with Cleanser";"Can only refill with Cleanser";""
"Can only refill with card pack";"Can only refill with card pack";""
"Can only store box on this shelf";"Can only store box on this shelf";""
"Can only store empty box";"Can only store empty box";""
"Can't decide if I really want this.";"Can't decide if I really want this.";""
"Can't sell the only Cash Counter";"Can't sell the only Cash Counter";""
"Can't side on this side";"Can't side on this side";""
"Can't sit on this side";"Can't sit on this side";""
"Can't throw the only Cash Counter";"Can't throw the only Cash Counter";""
"Cancel";"Cancel";""
"Cancel Join";"Cancel Join";""
"Cancel Tournament";"Cancel Tournament";""
"Canceling will reset the registered players. Are you sure about canceling the tournament?";"Canceling will reset the registered players.
Are you sure about canceling the tournament?";""
"Cannot add while machine is running";"Cannot add while machine is running";""
"Cannot mix different box sizes";"Cannot mix different box sizes";""
"Cannot mix different items in box";"Cannot mix different items in box";""
"Cannot mix different items on shelf";"Cannot mix different items on shelf";""
"Cannot modify deck after tournament started";"Cannot modify deck after tournament started";""
"Cannot move while customer in queue";"Cannot move while customer in queue";""
"Cannot open shop yet";"Cannot open shop yet";""
"Cannot remove table number during tournament";"Cannot remove table number during tournament";""
"Cannot store empty box";"Cannot store empty box";""
"Cannot store package box with this size";"Cannot store package box with this size";""
"Cannot withdraw during the tournament";"Cannot withdraw during the tournament";""
"Capacity";"Capacity";""
"Capitalist";"Capitalist";""
"Card Album";"Card Album";""
"Card Collector";"Card Collector";""
"Card Display";"Card Display";""
"Card Display Case";"Card Display Case";""
"Card Display Table";"Card Display Table";""
"Card Earning";"Card Earning";""
"Card Expansion";"Card Expansion";""
"Card Holder";"Card Holder";""
"Card Name";"Card Name";""
"Card Preserver";"Card Preserver";""
"Card Projector";"Card Projector";""
"Card Projector L";"Card Projector L";""
"Card Projector M";"Card Projector M";""
"Card Projector S";"Card Projector S";""
"Card Projector XL";"Card Projector XL";""
"Card Shelf";"Card Shelf";""
"Card Sleeves (Clear)";"Card Sleeves (Clear)";""
"Card Sleeves (Earth)";"Card Sleeves (Earth)";""
"Card Sleeves (Fire)";"Card Sleeves (Fire)";""
"Card Sleeves (Tetramon)";"Card Sleeves (Tetramon)";""
"Card Sleeves (Water)";"Card Sleeves (Water)";""
"Card Sleeves (Wind)";"Card Sleeves (Wind)";""
"Card Slot";"Card Slot";""
"Card Sold";"Card Sold";""
"Card Storage Shelf";"Card Storage Shelf";""
"Card Storage Shelf required to restock card";"Card Storage Shelf required to restock card";""
"Card Table";"Card Table";""
"Card Trade";"Card Trade";""
"Card Value";"Card Value";""
"Card Wall Display";"Card Wall Display";""
"Card packs and cards from Tetramon TCG might XXX price";"Card packs and cards from Tetramon TCG might XXX price";""
"Cards";"Cards";""
"Cards Collected";"Cards Collected";""
"Cards In Album :";"Cards In Album :";""
"Cards Obtained";"Cards Obtained";""
"Cards with EX border might XXX price";"Cards with EX border might XXX price";""
"Cards with Earth element might XXX price";"Cards with Earth element might XXX price";""
"Cards with Fire element might XXX price";"Cards with Fire element might XXX price";""
"Cards with First Edition border might XXX price";"Cards with First Edition border might XXX price";""
"Cards with Gold border might XXX price";"Cards with Gold border might XXX price";""
"Cards with Silver border might XXX price";"Cards with Silver border might XXX price";""
"Cards with Water element might XXX price";"Cards with Water element might XXX price";""
"Cards with Wind element might XXX price";"Cards with Wind element might XXX price";""
"Cards with certain border might XXX price";"Cards with certain border might XXX price";""
"Cards with certain element might XXX price";"Cards with certain element might XXX price";""
"Cards with full art might XXX price";"Cards with full art might XXX price";""
"Cart is empty";"Cart is empty";""
"Cash Balance :";"Cash Balance : ";""
"Cashier Lock Movement";"Cashier Lock Movement";""
"Casual";"Casual";""
"Casual Player";"Casual Player";""
"Cat Mage";"Cat Mage";""
"Cat Pirate";"Cat Pirate";""
"Cat Thief";"Cat Thief";""
"Ceiling";"Ceiling";""
"Ceiling YYY";"Ceiling YYY";""
"Center Dot";"Center Dot";""
"Certain card packs or cards might XXX price";"Certain card packs or cards might XXX price";""
"Chain Gun";"Chain Gun";""
"Champion";"Champion";""
"Champion Card";"Champion Card";""
"Championship";"Championship";""
"Change";"Change";""
"Change Grade";"Change Grade";""
"Channel";"Channel";""
"Charge";"Charge";""
"Charging";"Charging";""
"Cheap XXX. What a bargain!";"Cheap XXX. What a bargain!";""
"Cheap card. What a bargain!";"Cheap card. What a bargain!";""
"Check Submission Status";"Check Submission Status";""
"Checkout";"Checkout";""
"Checkout Counter";"Checkout Counter";""
"Checkout Speed :";"Checkout Speed :";""
"Checkout Speed:";"Checkout Speed:";""
"Chill Missile";"Chill Missile";""
"Choose";"Choose";""
"Choose Turn Order";"Choose Turn Order";""
"Claim";"Claim";""
"Claim!";"Claim!";""
"Clamigo";"Clamigo";""
"Clawaken";"Clawaken";""
"Clawcifear";"Clawcifear";""
"Clawdos";"Clawdos";""
"Clawop";"Clawop";""
"Clawvenger";"Clawvenger";""
"Cleanser";"Cleanser";""
"Clear";"Clear";""
"Clingy";"Clingy";""
"Close";"Close";""
"Close Album";"Close Album";""
"Close Box";"Close Box";""
"Close Phone";"Close Phone";""
"Cloud Save";"Cloud Save";""
"Cold Shoulder";"Cold Shoulder";""
"Collect";"Collect";""
"Collect All";"Collect All";""
"Collected";"Collected";""
"Collected XXX Destiny card in album!";"Collected XXX Destiny card in album!";""
"Collected XXX Ghost card in album!";"Collected XXX Ghost card in album!";""
"Collected XXX Tetramon card in album!";"Collected XXX Tetramon card in album!";""
"Collection";"Collection";""
"Collection Book";"Collection Book";""
"Collector";"Collector";""
"Collectors Album";"Collectors Album";""
"Color";"Color";""
"Come back when your deck stops embarrassing you.";"Come back when your deck stops embarrassing you.";""
"Comes with scanner device designed for stock management";"Comes with scanner device designed for stock management";""
"Comic Vol 1";"Comic Vol 1";""
"Comic Vol 10";"Comic Vol 10";""
"Comic Vol 11";"Comic Vol 11";""
"Comic Vol 12";"Comic Vol 12";""
"Comic Vol 2";"Comic Vol 2";""
"Comic Vol 3";"Comic Vol 3";""
"Comic Vol 4";"Comic Vol 4";""
"Comic Vol 5";"Comic Vol 5";""
"Comic Vol 6";"Comic Vol 6";""
"Comic Vol 7";"Comic Vol 7";""
"Comic Vol 8";"Comic Vol 8";""
"Comic Vol 9";"Comic Vol 9";""
"Coming Soon";"Coming Soon";""
"Common";"Common";""
"Common pack and card price might XXX";"Common pack and card price might XXX";""
"Competitive";"Competitive";""
"Completed";"Completed";""
"Completed!";"Completed!";""
"Composer";"Composer";""
"Confirm";"Confirm";""
"Confirm Event";"Confirm Event";""
"Confirm Name";"Confirm Name";""
"Confirm shop name?";"Confirm shop name?";""
"Connect";"Connect";""
"Connect Error";"Connect Error";""
"Connecting";"Connecting...";""
"Connection Problem";"Connection Problem";""
"Connection error";"Connection error";""
"Connoisseur";"Connoisseur";""
"Construction";"Construction";""
"Contains at least:";"Contains at least:";""
"Continue";"Continue";""
"Control";"Control";""
"Cook";"Cook";""
"Copy";"Copy";""
"Corner Shelf";"Corner Shelf";""
"Cost";"Cost";""
"Cost :";"Cost : ";""
"Cost Highest";"Cost Highest";""
"Cost Lowest";"Cost Lowest";""
"Cost Per Card";"Cost Per Card";""
"CouchPotato";"Couch Potato";""
"Counter";"Counter";""
"Crablox";"Crablox";""
"Crazy. Who's gonna buy XXX at this price!?";"Crazy. Who's gonna buy XXX at this price!?";""
"Crazy. Who's gonna buy at this price!?";"Crazy. Who's gonna buy at this price!?";""
"Create a shield to block XXX damage";"Create a shield to block XXX damage";""
"Create a shield to block XXX damage, then draw YYY card";"Create a shield to block XXX damage, then draw YYY card";""
"Creator";"Creator";""
"Crescent Claw";"Crescent Claw";""
"Crescent Machete";"Crescent Machete";""
"Crimson Wheel";"Crimson Wheel";""
"Crobib";"Crobib";""
"Crorathian";"Crorathian";""
"Crosilisk";"Crosilisk";""
"Cross";"Cross";""
"Crouch";"Crouch";""
"Cryo Blaster";"Cryo Blaster";""
"Curious";"Curious";""
"Currency";"Currency";""
"Currency Exchange";"Currency Exchange";""
"Current Earning :";"Current Earning :";""
"Current Game Event";"Current Game Event";""
"Current Page Value";"Current Page Value";""
"Current Task:";"Current Task:";""
"Current Version :";"Current Version :";""
"Current meta doesn't favour my deck at all...";"Current meta doesn't favour my deck at all...";""
"Custom";"Custom";""
"Customer";"Customer";""
"Customer Data";"Customer Data";""
"Customer Giving";"Customer Giving";""
"Customer Offer";"Customer Offer";""
"Customer Selling";"Customer Selling";""
"Customer Want";"Customer Want";""
"CustomerReview/A little expensive to play here but ok I guess";"A little expensive to play here but ok I guess";""
"CustomerReview/A little smelly at XXX, I don't really like it.";"A little smelly at XXX, I don't really like it.";""
"CustomerReview/A little smelly but bearable I guess.";"A little smelly but bearable I guess.";""
"CustomerReview/A lot of rare cards here";"A lot of rare cards here";""
"CustomerReview/A missing prize turned a great day into a bad memory.";"A missing prize turned a great day into a bad memory.";""
"CustomerReview/A simple promise should have been easy to keep.";"A simple promise should have been easy to keep.";""
"CustomerReview/A tournament is only as good as the organizers' integrity.";"A tournament is only as good as the organizers' integrity.";""
"CustomerReview/Absolute peak TCG experience";"Absolute peak TCG experience";""
"CustomerReview/Absolutely a steal for YYY! Didn't expect that price here.";"Absolutely a steal for YYY! Didn't expect that price here.";""
"CustomerReview/Alright pricing, could be cheaper.";"Alright pricing, could be cheaper.";""
"CustomerReview/Alright pricing, singles could be cheaper.";"Alright pricing, singles could be cheaper.";""
"CustomerReview/Amazing experience, got everything I wanted";"Amazing experience, got everything I wanted";""
"CustomerReview/Amazing shop! Thanks for the free cards!!";"Amazing shop! Thanks for the free cards!!";""
"CustomerReview/Argh the singles are staring at me but I ain't got no money to buy them.";"Argh the singles are staring at me but I ain't got no money to buy them.";""
"CustomerReview/Awesome, found some cards I needed in the bulk bin!";"Awesome, found some cards I needed in the bulk bin!";""
"CustomerReview/BEST SHOP XXX";"BEST SHOP XXX";""
"CustomerReview/Bad experience";"Bad experience";""
"CustomerReview/Been looking for YYY in the last 3 shops but can't find 'em, thrilled to find it here!";"Been looking for YYY in the last 3 shops but can't find 'em, thrilled to find it here!";""
"CustomerReview/Best service. Keep up the good work!!";"Best service. Keep up the good work!!";""
"CustomerReview/Broken promises hurt the community more than the missing prize itself.";"Broken promises hurt the community more than the missing prize itself.";""
"CustomerReview/Buying cards here feels like a scam";"Buying cards here feels like a scam";""
"CustomerReview/Came here looking for Ghost foil. Sell it for $100 pls!!!";"Came here looking for Ghost foil. Sell it for $100 pls!!!";""
"CustomerReview/Can I lodge a complaint for those exorbitant card prices?";"Can I lodge a complaint for those exorbitant card prices?";""
"CustomerReview/Can't even get YYY for me? 1 star!";"Can't even get YYY for me? 1 star!";""
"CustomerReview/Can't find the cards I wanted";"Can't find the cards I wanted";""
"CustomerReview/Can't get in the store...";"Can't get in the store...";""
"CustomerReview/Card price is EXPENSIVE!";"Card price is EXPENSIVE!";""
"CustomerReview/Card shop with ridiculous card pricing.";"Card shop with ridiculous card pricing.";""
"CustomerReview/Card shop with ridiculous fee.";"Card shop with ridiculous fee.";""
"CustomerReview/Card shop with ridiculous product pricing.";"Card shop with ridiculous product pricing.";""
"CustomerReview/Comfortable, cozy. I love to play here.";"Comfortable, cozy. I love to play here.";""
"CustomerReview/Could've give me proper change, got a bag of coins instead...";"Could've give me proper change, got a bag of coins instead...";""
"CustomerReview/Did they ran out of money or something? I was handed a bunch of coins!";"Did they ran out of money or something? I was handed a bunch of coins!";""
"CustomerReview/Did they think they are the ONLY shop in town that sells cards??? With that price I hope noone buys them!";"Did they think they are the ONLY shop in town that sells cards??? With that price I hope noone buys them!";""
"CustomerReview/Disappointing shop for missing prize.";"Disappointing shop for missing prize.";""
"CustomerReview/Do you sell YYY?";"Do you sell YYY?";""
"CustomerReview/Don't buy from XXX, way overpriced!";"Don't buy from XXX, way overpriced!";""
"CustomerReview/Don't feel like coming back";"Don't feel like coming back";""
"CustomerReview/Don't overwork the staff please...";"Don't overwork the staff please...";""
"CustomerReview/Don't think I will be back";"Don't think I will be back";""
"CustomerReview/Entry fee taken, promises made, and none of them kept. The prizes were a joke compared to what was advertised.";"Entry fee taken, promises made, and none of them kept. The prizes were a joke compared to what was advertised.";""
"CustomerReview/Expensive, do they weight the packs?";"Expensive, do they weight the packs?";""
"CustomerReview/Fair price to play here .";"Fair price to play here .";""
"CustomerReview/Fast and reliable seller!";"Fast and reliable seller!";""
"CustomerReview/Fine shop I guess";"Fine shop I guess";""
"CustomerReview/First time and the last time!";"First time and the last time!";""
